frameID,trayPoints,brushPoint,TwizzersPoint
1.0,"[(18, 174), (110, 174), (18, 19), (110, 19)]",None,None
2.0,"[(18, 174), (110, 174), (18, 20), (110, 20)]",None,None
3.0,"[(18, 174), (110, 174), (18, 19), (110, 19)]",None,None
4.0,"[(18, 174), (111, 174), (18, 20), (111, 20)]",None,None
5.0,"[(18, 174), (111, 174), (18, 20), (111, 20)]",None,None
6.0,"[(18, 174), (111, 174), (18, 20), (111, 20)]",None,None
7.0,"[(18, 175), (111, 175), (18, 19), (111, 19)]",None,None
8.0,"[(18, 174), (111, 174), (18, 20), (111, 20)]",None,None
9.0,"[(18, 174), (111, 174), (18, 20), (111, 20)]",None,None
10.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
11.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
12.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
13.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
14.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
15.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
16.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
17.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
18.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
19.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
20.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
21.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
22.0,"[(17, 175), (111, 175), (17, 19), (111, 19)]",None,None
23.0,"[(17, 175), (111, 175), (17, 19), (111, 19)]",None,None
24.0,"[(18, 175), (113, 175), (18, 19), (113, 19)]",None,None
25.0,"[(18, 175), (113, 175), (18, 19), (113, 19)]",None,None
26.0,"[(18, 175), (113, 175), (18, 19), (113, 19)]",None,None
27.0,"[(18, 175), (113, 175), (18, 19), (113, 19)]",None,None
28.0,"[(17, 175), (111, 175), (17, 20), (111, 20)]",None,None
29.0,"[(18, 175), (113, 175), (18, 19), (113, 19)]",None,None
30.0,"[(17, 175), (111, 175), (17, 20), (111, 20)]",None,None
31.0,"[(17, 175), (111, 175), (17, 20), (111, 20)]",None,None
32.0,"[(18, 175), (113, 175), (18, 19), (113, 19)]",None,None
33.0,"[(18, 175), (113, 175), (18, 19), (113, 19)]",None,None
34.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
35.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
36.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
37.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
38.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
39.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
40.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
41.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
42.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
43.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
44.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
45.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
46.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
47.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
48.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
49.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
50.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
51.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
52.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
53.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
54.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
55.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
56.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
57.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
58.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
59.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
60.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
61.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
62.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
63.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
64.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
65.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
66.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
67.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
68.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
69.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
70.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
71.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
72.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
73.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
74.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
75.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
76.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
77.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
78.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
79.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
80.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
81.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
82.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
83.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
84.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
85.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
86.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
87.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
88.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
89.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
90.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
91.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
92.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
93.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
94.0,"[(17, 174), (111, 174), (17, 19), (111, 19)]",None,None
95.0,"[(17, 174), (111, 174), (17, 19), (111, 19)]",None,None
96.0,"[(17, 174), (111, 174), (17, 19), (111, 19)]",None,None
97.0,"[(17, 174), (111, 174), (17, 19), (111, 19)]",None,None
98.0,"[(17, 174), (111, 174), (17, 19), (111, 19)]",None,None
99.0,"[(17, 174), (111, 174), (17, 19), (111, 19)]",None,None
100.0,"[(17, 174), (111, 174), (17, 19), (111, 19)]",None,None
101.0,"[(17, 174), (111, 174), (17, 19), (111, 19)]",None,None
102.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
103.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
104.0,"[(18, 174), (113, 174), (18, 19), (113, 19)]",None,None
105.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
106.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
107.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
108.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
109.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
110.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
111.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
112.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
113.0,"[(18, 174), (113, 174), (18, 17), (113, 17)]",None,None
114.0,"[(18, 174), (113, 174), (18, 17), (113, 17)]",None,None
115.0,"[(18, 174), (113, 174), (18, 17), (113, 17)]",None,None
116.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
117.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
118.0,"[(18, 174), (113, 174), (18, 17), (113, 17)]",None,None
119.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
120.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
121.0,"[(16, 174), (108, 174), (16, 18), (108, 18)]",None,None
122.0,"[(16, 174), (108, 174), (16, 18), (108, 18)]",None,None
123.0,"[(16, 174), (108, 174), (16, 18), (108, 18)]",None,None
124.0,"[(18, 174), (113, 174), (18, 17), (113, 17)]",None,None
125.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
126.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
127.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
128.0,"[(18, 174), (113, 174), (18, 18), (113, 18)]",None,None
129.0,"[(16, 174), (108, 174), (16, 18), (108, 18)]",None,None
130.0,"[(18, 174), (113, 174), (18, 17), (113, 17)]",None,None
