frameID,trayPoints,brushPoint,TwizzersPoint
1.0,"[(263, 87), (366, 87), (263, 294), (366, 294)]",None,"(333, 85)"
2.0,"[(263, 87), (366, 87), (263, 294), (366, 294)]",None,"(332, 85)"
3.0,"[(262, 87), (366, 87), (262, 294), (366, 294)]",None,"(332, 84)"
4.0,"[(262, 87), (366, 87), (262, 294), (366, 294)]",None,"(331, 85)"
5.0,"[(262, 87), (366, 87), (262, 294), (366, 294)]",None,"(331, 85)"
6.0,"[(262, 88), (366, 88), (262, 294), (366, 294)]",None,"(330, 86)"
7.0,"[(262, 88), (366, 88), (262, 294), (366, 294)]",None,"(329, 84)"
8.0,"[(262, 88), (366, 88), (262, 294), (366, 294)]",None,"(328, 83)"
9.0,"[(262, 88), (366, 88), (262, 294), (366, 294)]",None,"(328, 83)"
10.0,"[(262, 88), (366, 88), (262, 294), (366, 294)]",None,"(327, 83)"
11.0,"[(262, 88), (366, 88), (262, 294), (366, 294)]",None,"(325, 83)"
12.0,"[(262, 88), (366, 88), (262, 294), (366, 294)]",None,"(325, 81)"
13.0,"[(262, 88), (366, 88), (262, 294), (366, 294)]",None,"(324, 81)"
14.0,"[(262, 89), (366, 89), (262, 294), (366, 294)]",None,"(323, 83)"
15.0,"[(262, 88), (366, 88), (262, 294), (366, 294)]",None,"(323, 81)"
16.0,"[(262, 88), (366, 88), (262, 294), (366, 294)]",None,"(322, 81)"
17.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(322, 82)"
18.0,"[(262, 87), (366, 87), (262, 294), (366, 294)]",None,"(322, 81)"
19.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(320, 81)"
20.0,"[(261, 87), (366, 87), (261, 294), (366, 294)]",None,"(319, 82)"
21.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(320, 82)"
22.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(319, 81)"
23.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(317, 83)"
24.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(314, 87)"
25.0,"[(261, 88), (366, 88), (261, 295), (366, 295)]",None,"(308, 89)"
26.0,"[(261, 87), (366, 87), (261, 294), (366, 294)]",None,"(308, 91)"
27.0,"[(261, 87), (366, 87), (261, 294), (366, 294)]",None,"(306, 95)"
28.0,"[(261, 87), (366, 87), (261, 294), (366, 294)]",None,"(305, 95)"
29.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(303, 97)"
30.0,"[(261, 87), (366, 87), (261, 294), (366, 294)]",None,"(303, 96)"
31.0,"[(261, 88), (366, 88), (261, 295), (366, 295)]",None,"(301, 97)"
32.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(301, 98)"
33.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(300, 101)"
34.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(299, 105)"
35.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(299, 107)"
36.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(298, 108)"
