frameID,trayPoints,brushPoint,TwizzersPoint
1.0,"[(205, 10), (335, 10), (205, 257), (335, 257)]",None,None
2.0,"[(204, 10), (335, 10), (204, 257), (335, 257)]",None,None
3.0,"[(204, 10), (335, 10), (204, 257), (335, 257)]",None,None
4.0,"[(204, 10), (335, 10), (204, 257), (335, 257)]",None,None
5.0,"[(204, 10), (335, 10), (204, 257), (335, 257)]",None,None
6.0,"[(204, 10), (335, 10), (204, 257), (335, 257)]",None,None
7.0,"[(204, 10), (335, 10), (204, 257), (335, 257)]",None,None
8.0,"[(204, 10), (335, 10), (204, 257), (335, 257)]",None,None
9.0,"[(204, 10), (335, 10), (204, 257), (335, 257)]",None,None
10.0,"[(204, 10), (335, 10), (204, 257), (335, 257)]",None,None
11.0,"[(204, 10), (335, 10), (204, 257), (335, 257)]",None,None
12.0,"[(204, 10), (335, 10), (204, 257), (335, 257)]",None,None
13.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
14.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
15.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
16.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
17.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
18.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
19.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
20.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
21.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
22.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
23.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
24.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
25.0,"[(203, 10), (335, 10), (203, 257), (335, 257)]",None,None
26.0,"[(203, 10), (335, 10), (203, 257), (335, 257)]",None,None
27.0,"[(203, 10), (335, 10), (203, 257), (335, 257)]",None,None
28.0,"[(203, 10), (335, 10), (203, 257), (335, 257)]",None,None
29.0,"[(203, 10), (335, 10), (203, 257), (335, 257)]",None,None
30.0,"[(203, 10), (335, 10), (203, 257), (335, 257)]",None,None
31.0,"[(203, 10), (335, 10), (203, 257), (335, 257)]",None,None
32.0,"[(203, 10), (335, 10), (203, 257), (335, 257)]",None,None
33.0,"[(203, 10), (335, 10), (203, 257), (335, 257)]",None,None
34.0,"[(203, 10), (335, 10), (203, 257), (335, 257)]",None,None
35.0,"[(203, 10), (335, 10), (203, 257), (335, 257)]",None,None
36.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
37.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
38.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
39.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
40.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
41.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
42.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
43.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
44.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
45.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
46.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
47.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
48.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
49.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
50.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
51.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
52.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
53.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
54.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
55.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
56.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
57.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
58.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
59.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
60.0,"[(203, 10), (334, 10), (203, 257), (334, 257)]",None,None
61.0,"[(203, 10), (335, 10), (203, 257), (335, 257)]",None,None
62.0,"[(203, 10), (335, 10), (203, 257), (335, 257)]",None,None
63.0,"[(203, 10), (335, 10), (203, 257), (335, 257)]",None,None
64.0,"[(204, 10), (335, 10), (204, 257), (335, 257)]",None,None
65.0,"[(202, 11), (335, 11), (202, 257), (335, 257)]",None,None
66.0,"[(205, 10), (335, 10), (205, 257), (335, 257)]",None,None
67.0,"[(205, 10), (335, 10), (205, 258), (335, 258)]",None,None
68.0,"[(205, 10), (335, 10), (205, 259), (335, 259)]",None,None
69.0,"[(206, 10), (335, 10), (206, 259), (335, 259)]",None,None
70.0,"[(204, 10), (335, 10), (204, 258), (335, 258)]",None,None
71.0,"[(204, 11), (336, 11), (204, 258), (336, 258)]",None,None
72.0,"[(204, 11), (336, 11), (204, 258), (336, 258)]",None,None
73.0,"[(204, 10), (336, 10), (204, 257), (336, 257)]",None,None
74.0,"[(205, 10), (335, 10), (205, 256), (335, 256)]",None,None
75.0,"[(204, 10), (335, 10), (204, 256), (335, 256)]",None,None
76.0,"[(204, 11), (335, 11), (204, 256), (335, 256)]",None,None
77.0,"[(204, 11), (335, 11), (204, 256), (335, 256)]",None,None
78.0,"[(204, 11), (335, 11), (204, 255), (335, 255)]",None,None
79.0,"[(204, 11), (335, 11), (204, 256), (335, 256)]",None,None
80.0,"[(204, 11), (335, 11), (204, 256), (335, 256)]",None,None
81.0,"[(204, 11), (335, 11), (204, 256), (335, 256)]",None,None
82.0,"[(204, 11), (335, 11), (204, 256), (335, 256)]",None,None
83.0,"[(204, 11), (335, 11), (204, 256), (335, 256)]",None,None
84.0,"[(204, 11), (335, 11), (204, 256), (335, 256)]",None,None
85.0,"[(205, 11), (335, 11), (205, 255), (335, 255)]",None,None
86.0,"[(205, 11), (335, 11), (205, 255), (335, 255)]",None,None
87.0,"[(205, 11), (335, 11), (205, 255), (335, 255)]",None,None
88.0,"[(205, 11), (335, 11), (205, 255), (335, 255)]",None,None
89.0,"[(205, 11), (335, 11), (205, 255), (335, 255)]",None,None
90.0,"[(205, 11), (335, 11), (205, 256), (335, 256)]",None,None
91.0,"[(204, 11), (335, 11), (204, 255), (335, 255)]",None,None
92.0,"[(205, 11), (335, 11), (205, 255), (335, 255)]",None,None
93.0,"[(204, 10), (335, 10), (204, 255), (335, 255)]",None,None
94.0,"[(203, 10), (335, 10), (203, 255), (335, 255)]",None,None
95.0,"[(202, 11), (335, 11), (202, 256), (335, 256)]",None,None
96.0,"[(201, 12), (335, 12), (201, 257), (335, 257)]",None,None
97.0,"[(201, 11), (335, 11), (201, 258), (335, 258)]",None,None
98.0,"[(201, 11), (335, 11), (201, 257), (335, 257)]",None,None
99.0,"[(201, 11), (335, 11), (201, 256), (335, 256)]",None,None
100.0,"[(203, 10), (335, 10), (203, 255), (335, 255)]",None,None
101.0,"[(203, 10), (336, 10), (203, 255), (336, 255)]",None,None
102.0,"[(203, 10), (335, 10), (203, 255), (335, 255)]",None,None
103.0,"[(203, 10), (335, 10), (203, 255), (335, 255)]",None,None
104.0,"[(204, 10), (335, 10), (204, 255), (335, 255)]",None,None
105.0,"[(204, 10), (336, 10), (204, 255), (336, 255)]",None,None
106.0,"[(204, 10), (336, 10), (204, 255), (336, 255)]",None,None
107.0,"[(204, 10), (336, 10), (204, 255), (336, 255)]",None,None
108.0,"[(204, 10), (336, 10), (204, 255), (336, 255)]",None,None
109.0,"[(204, 10), (335, 10), (204, 254), (335, 254)]",None,None
110.0,"[(204, 10), (335, 10), (204, 254), (335, 254)]",None,None
111.0,"[(204, 10), (335, 10), (204, 254), (335, 254)]",None,None
112.0,"[(204, 10), (335, 10), (204, 254), (335, 254)]",None,None
113.0,"[(204, 10), (335, 10), (204, 254), (335, 254)]",None,None
114.0,"[(204, 10), (335, 10), (204, 254), (335, 254)]",None,None
115.0,"[(204, 10), (335, 10), (204, 255), (335, 255)]",None,None
116.0,"[(204, 10), (335, 10), (204, 255), (335, 255)]",None,None
117.0,"[(204, 10), (335, 10), (204, 255), (335, 255)]",None,None
118.0,"[(204, 10), (336, 10), (204, 255), (336, 255)]",None,None
119.0,"[(204, 10), (336, 10), (204, 255), (336, 255)]",None,None
120.0,"[(204, 10), (336, 10), (204, 255), (336, 255)]",None,None
121.0,"[(205, 10), (336, 10), (205, 255), (336, 255)]",None,None
122.0,"[(205, 10), (336, 10), (205, 255), (336, 255)]",None,None
123.0,"[(205, 10), (336, 10), (205, 255), (336, 255)]",None,None
124.0,"[(205, 10), (336, 10), (205, 255), (336, 255)]",None,None
125.0,"[(205, 10), (335, 10), (205, 255), (335, 255)]",None,None
126.0,"[(205, 10), (335, 10), (205, 255), (335, 255)]",None,None
127.0,"[(205, 10), (335, 10), (205, 255), (335, 255)]",None,None
128.0,"[(205, 10), (335, 10), (205, 255), (335, 255)]",None,None
129.0,"[(204, 10), (335, 10), (204, 255), (335, 255)]",None,None
130.0,"[(204, 10), (335, 10), (204, 255), (335, 255)]",None,None
131.0,"[(204, 10), (335, 10), (204, 255), (335, 255)]",None,None
132.0,"[(204, 11), (335, 11), (204, 255), (335, 255)]",None,None
133.0,"[(203, 11), (335, 11), (203, 256), (335, 256)]",None,None
134.0,"[(203, 11), (335, 11), (203, 256), (335, 256)]",None,None
135.0,"[(202, 13), (335, 13), (202, 257), (335, 257)]",None,None
136.0,"[(204, 10), (335, 10), (204, 257), (335, 257)]",None,None
