frameID,trayPoints,brushPoint,TwizzersPoint
1.0,"[(207, 12), (333, 12), (207, 257), (333, 257)]",None,None
2.0,"[(207, 12), (333, 12), (207, 257), (333, 257)]",None,None
3.0,"[(207, 12), (333, 12), (207, 257), (333, 257)]",None,None
4.0,"[(207, 12), (333, 12), (207, 257), (333, 257)]",None,None
5.0,"[(207, 13), (333, 13), (207, 257), (333, 257)]",None,None
6.0,"[(207, 13), (333, 13), (207, 257), (333, 257)]",None,None
7.0,"[(207, 13), (333, 13), (207, 257), (333, 257)]",None,None
8.0,"[(207, 13), (333, 13), (207, 257), (333, 257)]",None,None
9.0,"[(205, 14), (333, 14), (205, 256), (333, 256)]",None,None
10.0,"[(205, 14), (333, 14), (205, 256), (333, 256)]",None,None
11.0,"[(205, 14), (333, 14), (205, 256), (333, 256)]",None,None
12.0,"[(206, 14), (333, 14), (206, 256), (333, 256)]",None,None
13.0,"[(208, 12), (332, 12), (208, 257), (332, 257)]",None,None
14.0,"[(208, 12), (332, 12), (208, 257), (332, 257)]",None,None
15.0,"[(208, 12), (333, 12), (208, 257), (333, 257)]",None,None
16.0,"[(208, 12), (333, 12), (208, 257), (333, 257)]",None,None
17.0,"[(207, 12), (333, 12), (207, 257), (333, 257)]",None,None
18.0,"[(207, 12), (333, 12), (207, 257), (333, 257)]",None,None
19.0,"[(207, 12), (333, 12), (207, 257), (333, 257)]",None,None
20.0,"[(207, 12), (333, 12), (207, 257), (333, 257)]",None,None
21.0,"[(207, 12), (333, 12), (207, 256), (333, 256)]",None,None
22.0,"[(207, 12), (332, 12), (207, 256), (332, 256)]",None,None
23.0,"[(207, 12), (332, 12), (207, 256), (332, 256)]",None,None
24.0,"[(207, 12), (332, 12), (207, 256), (332, 256)]",None,None
25.0,"[(208, 12), (332, 12), (208, 257), (332, 257)]",None,None
26.0,"[(209, 11), (332, 11), (209, 257), (332, 257)]",None,None
27.0,"[(209, 12), (332, 12), (209, 258), (332, 258)]",None,None
28.0,"[(209, 12), (332, 12), (209, 258), (332, 258)]",None,None
29.0,"[(210, 12), (332, 12), (210, 257), (332, 257)]",None,None
30.0,"[(209, 12), (332, 12), (209, 257), (332, 257)]",None,None
31.0,"[(209, 12), (332, 12), (209, 256), (332, 256)]",None,None
32.0,"[(208, 12), (332, 12), (208, 256), (332, 256)]",None,None
33.0,"[(208, 12), (332, 12), (208, 256), (332, 256)]",None,None
34.0,"[(208, 12), (332, 12), (208, 255), (332, 255)]",None,None
35.0,"[(208, 12), (332, 12), (208, 255), (332, 255)]",None,None
36.0,"[(206, 13), (332, 13), (206, 255), (332, 255)]",None,None
37.0,"[(207, 14), (332, 14), (207, 256), (332, 256)]",None,None
38.0,"[(207, 14), (332, 14), (207, 256), (332, 256)]",None,None
39.0,"[(207, 14), (332, 14), (207, 256), (332, 256)]",None,None
40.0,"[(207, 14), (332, 14), (207, 255), (332, 255)]",None,None
41.0,"[(206, 14), (332, 14), (206, 255), (332, 255)]",None,None
42.0,"[(206, 14), (332, 14), (206, 256), (332, 256)]",None,None
43.0,"[(206, 14), (332, 14), (206, 256), (332, 256)]",None,None
44.0,"[(206, 14), (332, 14), (206, 256), (332, 256)]",None,None
45.0,"[(206, 14), (332, 14), (206, 256), (332, 256)]",None,None
46.0,"[(206, 14), (332, 14), (206, 256), (332, 256)]",None,None
47.0,"[(206, 14), (332, 14), (206, 256), (332, 256)]",None,None
48.0,"[(206, 14), (332, 14), (206, 256), (332, 256)]",None,None
49.0,"[(205, 14), (332, 14), (205, 255), (332, 255)]",None,None
50.0,"[(205, 14), (332, 14), (205, 255), (332, 255)]",None,None
51.0,"[(204, 14), (332, 14), (204, 255), (332, 255)]",None,None
52.0,"[(204, 14), (332, 14), (204, 255), (332, 255)]",None,None
53.0,"[(205, 14), (332, 14), (205, 255), (332, 255)]",None,None
54.0,"[(204, 14), (332, 14), (204, 255), (332, 255)]",None,None
55.0,"[(204, 14), (332, 14), (204, 256), (332, 256)]",None,None
56.0,"[(205, 14), (332, 14), (205, 256), (332, 256)]",None,None
57.0,"[(205, 14), (332, 14), (205, 256), (332, 256)]",None,None
58.0,"[(204, 14), (332, 14), (204, 256), (332, 256)]",None,None
59.0,"[(204, 14), (332, 14), (204, 256), (332, 256)]",None,None
60.0,"[(204, 14), (332, 14), (204, 255), (332, 255)]",None,None
61.0,"[(204, 14), (332, 14), (204, 256), (332, 256)]",None,None
62.0,"[(204, 14), (332, 14), (204, 256), (332, 256)]",None,None
63.0,"[(204, 14), (331, 14), (204, 256), (331, 256)]",None,None
64.0,"[(204, 14), (331, 14), (204, 256), (331, 256)]",None,None
65.0,"[(204, 14), (331, 14), (204, 256), (331, 256)]",None,None
66.0,"[(204, 14), (331, 14), (204, 256), (331, 256)]",None,None
67.0,"[(204, 14), (331, 14), (204, 256), (331, 256)]",None,None
68.0,"[(204, 14), (332, 14), (204, 255), (332, 255)]",None,None
