frameID,trayPoints,brushPoint,TwizzersPoint
1.0,"[(161, 33), (272, 33), (161, 174), (272, 174)]",None,None
2.0,"[(161, 33), (272, 33), (161, 174), (272, 174)]",None,None
3.0,"[(161, 33), (272, 33), (161, 174), (272, 174)]",None,None
4.0,"[(161, 33), (272, 33), (161, 174), (272, 174)]",None,None
5.0,"[(160, 33), (272, 33), (160, 174), (272, 174)]",None,None
6.0,"[(160, 33), (272, 33), (160, 174), (272, 174)]",None,None
7.0,"[(160, 33), (272, 33), (160, 174), (272, 174)]",None,None
8.0,"[(160, 33), (272, 33), (160, 174), (272, 174)]",None,None
9.0,"[(158, 31), (266, 31), (158, 173), (266, 173)]",None,None
10.0,"[(158, 31), (266, 31), (158, 173), (266, 173)]",None,None
11.0,"[(159, 31), (266, 31), (159, 173), (266, 173)]",None,None
12.0,"[(161, 33), (272, 33), (161, 174), (272, 174)]",None,None
13.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
14.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
15.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
16.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
17.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
18.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
19.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
20.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
21.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
22.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
23.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
24.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
25.0,"[(158, 32), (266, 32), (158, 175), (266, 175)]",None,None
26.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
27.0,"[(158, 32), (266, 32), (158, 175), (266, 175)]",None,None
28.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
29.0,"[(158, 32), (266, 32), (158, 175), (266, 175)]",None,None
30.0,"[(159, 33), (266, 33), (159, 175), (266, 175)]",None,None
31.0,"[(159, 33), (266, 33), (159, 175), (266, 175)]",None,None
32.0,"[(159, 33), (266, 33), (159, 175), (266, 175)]",None,None
33.0,"[(159, 33), (266, 33), (159, 175), (266, 175)]",None,None
34.0,"[(159, 33), (266, 33), (159, 175), (266, 175)]",None,None
35.0,"[(159, 33), (266, 33), (159, 175), (266, 175)]",None,None
36.0,"[(159, 33), (266, 33), (159, 175), (266, 175)]",None,None
37.0,"[(160, 33), (266, 33), (160, 174), (266, 174)]",None,None
38.0,"[(161, 33), (266, 33), (161, 174), (266, 174)]",None,None
39.0,"[(160, 33), (266, 33), (160, 174), (266, 174)]",None,None
40.0,"[(161, 33), (266, 33), (161, 174), (266, 174)]",None,None
41.0,"[(160, 32), (266, 32), (160, 175), (266, 175)]",None,None
42.0,"[(161, 33), (266, 33), (161, 174), (266, 174)]",None,None
43.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
44.0,"[(160, 32), (266, 32), (160, 174), (266, 174)]",None,None
45.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
46.0,"[(160, 32), (266, 32), (160, 175), (266, 175)]",None,None
47.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
48.0,"[(160, 32), (266, 32), (160, 174), (266, 174)]",None,None
49.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
50.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
51.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
52.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
53.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
54.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
55.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
56.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
57.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
58.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
59.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
60.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
61.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
62.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
63.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
64.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
65.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
66.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
67.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
68.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
69.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
70.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
71.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
72.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
73.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
74.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
75.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
76.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
77.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
78.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
79.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
80.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
81.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
82.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
83.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
84.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
85.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
86.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
87.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
88.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
89.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
90.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
91.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
92.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
93.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
94.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
95.0,"[(159, 32), (266, 32), (159, 175), (266, 175)]",None,None
96.0,"[(160, 32), (266, 32), (160, 175), (266, 175)]",None,None
97.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
98.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
99.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
100.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
101.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
102.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
103.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
104.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
105.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
106.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
107.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
108.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
109.0,"[(160, 32), (266, 32), (160, 175), (266, 175)]",None,None
110.0,"[(160, 32), (266, 32), (160, 175), (266, 175)]",None,None
111.0,"[(160, 32), (266, 32), (160, 175), (266, 175)]",None,None
112.0,"[(160, 32), (266, 32), (160, 175), (266, 175)]",None,None
113.0,"[(160, 32), (266, 32), (160, 175), (266, 175)]",None,None
114.0,"[(160, 32), (266, 32), (160, 175), (266, 175)]",None,None
115.0,"[(160, 33), (266, 33), (160, 175), (266, 175)]",None,None
116.0,"[(160, 32), (266, 32), (160, 175), (266, 175)]",None,None
117.0,"[(160, 33), (266, 33), (160, 175), (266, 175)]",None,None
118.0,"[(160, 33), (266, 33), (160, 175), (266, 175)]",None,None
119.0,"[(160, 33), (266, 33), (160, 175), (266, 175)]",None,None
120.0,"[(160, 33), (266, 33), (160, 175), (266, 175)]",None,None
121.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
122.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
123.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
124.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
125.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
126.0,"[(159, 33), (266, 33), (159, 174), (266, 174)]",None,None
127.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
128.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
129.0,"[(159, 32), (266, 32), (159, 174), (266, 174)]",None,None
