frameID,trayPoints,brushPoint,TwizzersPoint
1.0,"[(261, 87), (366, 87), (261, 293), (366, 293)]",None,"(301, 267)"
2.0,"[(261, 87), (366, 87), (261, 292), (366, 292)]",None,"(301, 267)"
3.0,"[(261, 87), (366, 87), (261, 293), (366, 293)]",None,"(301, 268)"
4.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 268)"
5.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 268)"
6.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 268)"
7.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 268)"
8.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(300, 268)"
9.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 268)"
10.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(300, 268)"
11.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 268)"
12.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 268)"
13.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 268)"
14.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 268)"
15.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 267)"
16.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 267)"
17.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 267)"
18.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 267)"
19.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 267)"
20.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 267)"
21.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 267)"
22.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 267)"
23.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 267)"
24.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 267)"
25.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 267)"
26.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 267)"
27.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(300, 268)"
28.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(300, 268)"
29.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(300, 268)"
30.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(300, 267)"
31.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(300, 268)"
32.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(300, 268)"
33.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(300, 268)"
34.0,"[(261, 88), (366, 88), (261, 292), (366, 292)]",None,"(300, 268)"
35.0,"[(261, 88), (366, 88), (261, 292), (366, 292)]",None,"(300, 268)"
36.0,"[(261, 88), (366, 88), (261, 292), (366, 292)]",None,"(300, 268)"
37.0,"[(261, 88), (366, 88), (261, 292), (366, 292)]",None,"(300, 268)"
38.0,"[(261, 88), (366, 88), (261, 292), (366, 292)]",None,"(300, 268)"
39.0,"[(261, 88), (366, 88), (261, 292), (366, 292)]",None,"(301, 267)"
40.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 267)"
41.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 267)"
42.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 267)"
43.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 267)"
44.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 267)"
45.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 267)"
46.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 267)"
47.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 267)"
48.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 267)"
49.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 267)"
50.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(301, 267)"
51.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(302, 267)"
52.0,"[(261, 87), (366, 87), (261, 293), (366, 293)]",None,"(302, 267)"
53.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(302, 267)"
54.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(302, 267)"
55.0,"[(261, 88), (366, 88), (261, 293), (366, 293)]",None,"(302, 267)"
56.0,"[(260, 89), (365, 89), (260, 293), (365, 293)]",None,"(302, 267)"
57.0,"[(260, 89), (365, 89), (260, 293), (365, 293)]",None,"(302, 267)"
58.0,"[(260, 89), (365, 89), (260, 293), (365, 293)]",None,"(302, 267)"
59.0,"[(260, 89), (365, 89), (260, 294), (365, 294)]",None,"(302, 267)"
60.0,"[(260, 89), (365, 89), (260, 294), (365, 294)]",None,"(302, 267)"
61.0,"[(260, 89), (365, 89), (260, 294), (365, 294)]",None,"(302, 267)"
62.0,"[(260, 89), (365, 89), (260, 294), (365, 294)]",None,"(302, 267)"
63.0,"[(260, 89), (365, 89), (260, 294), (365, 294)]",None,"(301, 267)"
64.0,"[(260, 89), (365, 89), (260, 294), (365, 294)]",None,"(301, 267)"
65.0,"[(260, 88), (365, 88), (260, 294), (365, 294)]",None,"(301, 267)"
66.0,"[(260, 88), (365, 88), (260, 294), (365, 294)]",None,"(301, 267)"
67.0,"[(260, 88), (365, 88), (260, 295), (365, 295)]",None,"(301, 267)"
68.0,"[(259, 88), (365, 88), (259, 295), (365, 295)]",None,"(301, 268)"
69.0,"[(259, 88), (365, 88), (259, 295), (365, 295)]","(311, 130)","(301, 267)"
70.0,"[(259, 88), (365, 88), (259, 295), (365, 295)]","(311, 130)","(301, 268)"
71.0,"[(259, 88), (365, 88), (259, 295), (365, 295)]",None,"(301, 268)"
72.0,"[(259, 88), (365, 88), (259, 295), (365, 295)]",None,"(301, 268)"
73.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,"(301, 269)"
74.0,"[(260, 86), (366, 86), (260, 294), (366, 294)]",None,"(301, 269)"
75.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,"(301, 269)"
76.0,"[(259, 87), (366, 87), (259, 294), (366, 294)]",None,"(301, 269)"
77.0,"[(259, 87), (366, 87), (259, 294), (366, 294)]",None,"(301, 269)"
78.0,"[(259, 87), (366, 87), (259, 294), (366, 294)]",None,"(301, 269)"
79.0,"[(259, 88), (366, 88), (259, 293), (366, 293)]",None,"(301, 269)"
80.0,"[(259, 88), (366, 88), (259, 293), (366, 293)]",None,"(301, 269)"
81.0,"[(258, 88), (365, 88), (258, 293), (365, 293)]",None,"(301, 269)"
82.0,"[(258, 88), (365, 88), (258, 294), (365, 294)]",None,"(302, 269)"
83.0,"[(258, 88), (366, 88), (258, 294), (366, 294)]",None,"(302, 269)"
84.0,"[(258, 88), (366, 88), (258, 294), (366, 294)]",None,"(302, 269)"
85.0,"[(258, 87), (366, 87), (258, 294), (366, 294)]",None,"(302, 269)"
86.0,"[(259, 87), (366, 87), (259, 294), (366, 294)]",None,"(302, 269)"
87.0,"[(259, 87), (366, 87), (259, 294), (366, 294)]",None,"(302, 268)"
88.0,"[(259, 87), (366, 87), (259, 295), (366, 295)]",None,"(302, 268)"
89.0,"[(259, 87), (366, 87), (259, 294), (366, 294)]",None,"(302, 268)"
90.0,"[(260, 87), (366, 87), (260, 295), (366, 295)]",None,"(302, 268)"
91.0,"[(260, 87), (366, 87), (260, 295), (366, 295)]",None,"(302, 268)"
92.0,"[(260, 87), (366, 87), (260, 295), (366, 295)]",None,"(302, 268)"
93.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(302, 268)"
94.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(302, 268)"
95.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,None
96.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,None
97.0,"[(261, 86), (366, 86), (261, 295), (366, 295)]",None,None
98.0,"[(261, 86), (366, 86), (261, 295), (366, 295)]",None,None
99.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,None
100.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,None
101.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,None
102.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,None
103.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,None
104.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,None
105.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,None
106.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,None
107.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(297, 271)"
108.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(296, 271)"
109.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(296, 271)"
110.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(293, 272)"
111.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(292, 272)"
112.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(292, 272)"
113.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(292, 272)"
114.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(292, 272)"
115.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(291, 273)"
116.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(290, 273)"
117.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(290, 273)"
118.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(290, 273)"
119.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(290, 273)"
120.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(289, 273)"
121.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(289, 273)"
122.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(289, 273)"
123.0,"[(259, 86), (366, 86), (259, 295), (366, 295)]",None,"(286, 274)"
124.0,"[(259, 86), (366, 86), (259, 295), (366, 295)]",None,"(286, 274)"
125.0,"[(259, 86), (366, 86), (259, 295), (366, 295)]",None,"(285, 275)"
126.0,"[(259, 86), (366, 86), (259, 295), (366, 295)]",None,"(285, 274)"
127.0,"[(259, 86), (366, 86), (259, 295), (366, 295)]",None,"(285, 274)"
128.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(284, 274)"
129.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(284, 274)"
130.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(284, 274)"
131.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(284, 274)"
132.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(284, 272)"
133.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(284, 270)"
134.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(284, 266)"
135.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(286, 264)"
136.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(287, 260)"
137.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(287, 252)"
138.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(291, 245)"
139.0,"[(260, 86), (366, 86), (260, 295), (366, 295)]",None,"(292, 244)"
140.0,"[(260, 87), (366, 87), (260, 295), (366, 295)]",None,"(296, 232)"
141.0,"[(260, 87), (366, 87), (260, 295), (366, 295)]",None,"(298, 205)"
142.0,"[(261, 87), (366, 87), (261, 295), (366, 295)]",None,"(302, 189)"
143.0,"[(261, 87), (366, 87), (261, 294), (366, 294)]",None,None
