frameID,trayPoints,brushPoint,TwizzersPoint
1.0,"[(259, 89), (365, 89), (259, 294), (365, 294)]",None,None
2.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
3.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
4.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
5.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
6.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
7.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
8.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
9.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
10.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
11.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
12.0,"[(260, 88), (365, 88), (260, 294), (365, 294)]",None,None
13.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
14.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
15.0,"[(260, 88), (365, 88), (260, 294), (365, 294)]",None,None
16.0,"[(260, 88), (365, 88), (260, 294), (365, 294)]",None,None
17.0,"[(260, 88), (365, 88), (260, 294), (365, 294)]",None,None
18.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
19.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
20.0,"[(260, 88), (366, 88), (260, 294), (366, 294)]",None,None
21.0,"[(259, 87), (366, 87), (259, 294), (366, 294)]",None,None
22.0,"[(259, 87), (366, 87), (259, 294), (366, 294)]",None,None
23.0,"[(259, 87), (366, 87), (259, 294), (366, 294)]",None,None
24.0,"[(259, 87), (366, 87), (259, 294), (366, 294)]",None,None
25.0,"[(259, 87), (366, 87), (259, 294), (366, 294)]",None,None
26.0,"[(259, 87), (366, 87), (259, 294), (366, 294)]",None,None
27.0,"[(259, 87), (366, 87), (259, 294), (366, 294)]",None,None
28.0,"[(259, 87), (366, 87), (259, 294), (366, 294)]",None,None
29.0,"[(259, 87), (366, 87), (259, 294), (366, 294)]",None,None
30.0,"[(259, 87), (366, 87), (259, 294), (366, 294)]",None,None
31.0,"[(259, 87), (366, 87), (259, 294), (366, 294)]",None,None
32.0,"[(260, 87), (365, 87), (260, 294), (365, 294)]",None,None
33.0,"[(259, 87), (365, 87), (259, 294), (365, 294)]",None,None
34.0,"[(259, 87), (365, 87), (259, 294), (365, 294)]",None,None
35.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
36.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
37.0,"[(259, 87), (365, 87), (259, 294), (365, 294)]",None,None
38.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
39.0,"[(259, 87), (365, 87), (259, 294), (365, 294)]",None,None
40.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
41.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
42.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
43.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
44.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
45.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
46.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
47.0,"[(259, 87), (365, 87), (259, 294), (365, 294)]",None,None
48.0,"[(259, 87), (366, 87), (259, 294), (366, 294)]",None,None
49.0,"[(259, 87), (365, 87), (259, 294), (365, 294)]",None,None
50.0,"[(259, 87), (365, 87), (259, 294), (365, 294)]",None,None
51.0,"[(259, 87), (365, 87), (259, 294), (365, 294)]",None,None
52.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
53.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
54.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
55.0,"[(259, 87), (365, 87), (259, 294), (365, 294)]",None,None
56.0,"[(259, 87), (365, 87), (259, 294), (365, 294)]",None,None
57.0,"[(259, 87), (365, 87), (259, 294), (365, 294)]",None,None
58.0,"[(259, 87), (365, 87), (259, 294), (365, 294)]",None,None
59.0,"[(259, 87), (365, 87), (259, 294), (365, 294)]",None,None
60.0,"[(259, 87), (365, 87), (259, 294), (365, 294)]",None,None
61.0,"[(259, 87), (365, 87), (259, 294), (365, 294)]",None,None
62.0,"[(259, 87), (365, 87), (259, 294), (365, 294)]",None,None
63.0,"[(259, 87), (365, 87), (259, 294), (365, 294)]",None,None
64.0,"[(259, 87), (365, 87), (259, 294), (365, 294)]",None,None
65.0,"[(259, 87), (365, 87), (259, 294), (365, 294)]",None,None
66.0,"[(259, 87), (365, 87), (259, 294), (365, 294)]",None,"(276, 165)"
67.0,"[(259, 87), (365, 87), (259, 294), (365, 294)]",None,"(276, 167)"
68.0,"[(259, 87), (365, 87), (259, 294), (365, 294)]",None,None
69.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
70.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
71.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
72.0,"[(259, 88), (366, 88), (259, 294), (366, 294)]",None,None
73.0,"[(259, 88), (365, 88), (259, 294), (365, 294)]",None,None
74.0,"[(260, 88), (365, 88), (260, 294), (365, 294)]",None,None
75.0,"[(260, 88), (365, 88), (260, 294), (365, 294)]",None,None
76.0,"[(260, 88), (366, 88), (260, 294), (366, 294)]",None,"(284, 181)"
77.0,"[(261, 87), (366, 87), (261, 294), (366, 294)]",None,None
78.0,"[(262, 87), (366, 87), (262, 294), (366, 294)]",None,None
79.0,"[(261, 87), (366, 87), (261, 294), (366, 294)]",None,None
80.0,"[(261, 86), (366, 86), (261, 294), (366, 294)]",None,None
81.0,"[(261, 86), (366, 86), (261, 294), (366, 294)]",None,None
82.0,"[(261, 87), (366, 87), (261, 294), (366, 294)]",None,"(285, 190)"
83.0,"[(261, 87), (366, 87), (261, 294), (366, 294)]",None,"(286, 192)"
84.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(286, 194)"
85.0,"[(261, 87), (366, 87), (261, 294), (366, 294)]",None,"(288, 196)"
86.0,"[(261, 87), (366, 87), (261, 295), (366, 295)]",None,"(288, 197)"
87.0,"[(261, 87), (367, 87), (261, 295), (367, 295)]",None,"(287, 197)"
88.0,"[(261, 87), (367, 87), (261, 294), (367, 294)]",None,"(287, 197)"
89.0,"[(261, 87), (367, 87), (261, 295), (367, 295)]",None,None
90.0,"[(261, 87), (367, 87), (261, 295), (367, 295)]",None,None
91.0,"[(261, 87), (367, 87), (261, 294), (367, 294)]",None,None
92.0,"[(261, 87), (367, 87), (261, 294), (367, 294)]",None,None
93.0,"[(260, 87), (367, 87), (260, 295), (367, 295)]",None,None
94.0,"[(261, 87), (367, 87), (261, 294), (367, 294)]",None,None
95.0,"[(261, 87), (367, 87), (261, 295), (367, 295)]",None,None
96.0,"[(261, 86), (367, 86), (261, 295), (367, 295)]",None,None
97.0,"[(261, 86), (366, 86), (261, 295), (366, 295)]",None,None
98.0,"[(261, 86), (367, 86), (261, 295), (367, 295)]",None,None
99.0,"[(261, 86), (367, 86), (261, 295), (367, 295)]",None,None
100.0,"[(261, 86), (367, 86), (261, 295), (367, 295)]",None,None
101.0,"[(261, 86), (367, 86), (261, 295), (367, 295)]",None,None
102.0,"[(260, 86), (367, 86), (260, 295), (367, 295)]",None,None
103.0,"[(260, 86), (367, 86), (260, 295), (367, 295)]",None,None
104.0,"[(260, 86), (367, 86), (260, 295), (367, 295)]",None,"(516, 29)"
105.0,"[(260, 86), (367, 86), (260, 295), (367, 295)]",None,"(516, 28)"
106.0,"[(260, 86), (367, 86), (260, 295), (367, 295)]",None,"(517, 28)"
107.0,"[(260, 86), (367, 86), (260, 295), (367, 295)]",None,"(517, 29)"
108.0,"[(260, 86), (367, 86), (260, 295), (367, 295)]",None,"(518, 29)"
109.0,"[(261, 86), (367, 86), (261, 295), (367, 295)]",None,"(519, 28)"
110.0,"[(261, 86), (367, 86), (261, 296), (367, 296)]",None,"(519, 28)"
111.0,"[(261, 86), (367, 86), (261, 296), (367, 296)]",None,"(519, 29)"
112.0,"[(262, 86), (367, 86), (262, 296), (367, 296)]",None,"(519, 28)"
