frameID,trayPoints,brushPoint,TwizzersPoint
1.0,"[(259, 92), (365, 92), (259, 293), (365, 293)]","(303, 247)",None
2.0,"[(259, 92), (365, 92), (259, 293), (365, 293)]","(303, 249)",None
3.0,"[(259, 92), (365, 92), (259, 293), (365, 293)]","(303, 249)",None
4.0,"[(259, 92), (365, 92), (259, 293), (365, 293)]","(304, 249)",None
5.0,"[(259, 92), (365, 92), (259, 293), (365, 293)]","(304, 250)",None
6.0,"[(259, 92), (365, 92), (259, 293), (365, 293)]","(303, 250)",None
7.0,"[(259, 92), (365, 92), (259, 293), (365, 293)]","(302, 247)",None
8.0,"[(259, 92), (365, 92), (259, 293), (365, 293)]","(302, 250)",None
9.0,"[(259, 92), (365, 92), (259, 293), (365, 293)]",None,None
10.0,"[(259, 92), (365, 92), (259, 293), (365, 293)]",None,None
11.0,"[(259, 92), (365, 92), (259, 293), (365, 293)]",None,None
12.0,"[(259, 92), (365, 92), (259, 293), (365, 293)]",None,None
13.0,"[(258, 90), (366, 90), (258, 292), (366, 292)]","(302, 249)",None
14.0,"[(258, 90), (366, 90), (258, 292), (366, 292)]","(302, 248)",None
15.0,"[(258, 90), (366, 90), (258, 292), (366, 292)]","(303, 247)",None
16.0,"[(258, 90), (366, 90), (258, 292), (366, 292)]","(303, 247)",None
17.0,"[(259, 92), (365, 92), (259, 293), (365, 293)]","(302, 247)",None
18.0,"[(259, 92), (365, 92), (259, 293), (365, 293)]","(300, 249)",None
19.0,"[(259, 92), (365, 92), (259, 293), (365, 293)]","(300, 248)",None
20.0,"[(259, 92), (365, 92), (259, 293), (365, 293)]","(301, 249)",None
21.0,"[(259, 92), (365, 92), (259, 293), (365, 293)]",None,None
22.0,"[(259, 92), (365, 92), (259, 293), (365, 293)]","(300, 249)",None
23.0,"[(259, 92), (365, 92), (259, 293), (365, 293)]",None,None
24.0,"[(259, 92), (365, 92), (259, 293), (365, 293)]",None,None
25.0,"[(259, 92), (365, 92), (259, 293), (365, 293)]","(296, 248)",None
26.0,"[(259, 92), (365, 92), (259, 293), (365, 293)]","(296, 248)",None
