frameID,trayPoints,brushPoint,TwizzersPoint
1.0,"[(332, 29), (394, 29), (332, 193), (394, 193)]",None,None
2.0,"[(332, 29), (394, 29), (332, 193), (394, 193)]",None,None
3.0,"[(332, 29), (394, 29), (332, 193), (394, 193)]",None,None
4.0,"[(332, 29), (394, 29), (332, 193), (394, 193)]",None,None
5.0,"[(332, 29), (395, 29), (332, 193), (395, 193)]",None,None
6.0,"[(332, 29), (395, 29), (332, 193), (395, 193)]",None,None
7.0,"[(332, 28), (394, 28), (332, 193), (394, 193)]",None,None
8.0,"[(332, 28), (395, 28), (332, 193), (395, 193)]",None,None
9.0,"[(332, 29), (395, 29), (332, 193), (395, 193)]",None,None
10.0,"[(332, 29), (395, 29), (332, 193), (395, 193)]",None,None
11.0,"[(332, 29), (395, 29), (332, 193), (395, 193)]",None,None
12.0,"[(332, 29), (395, 29), (332, 193), (395, 193)]",None,None
13.0,"[(331, 29), (394, 29), (331, 193), (394, 193)]",None,None
14.0,"[(331, 29), (394, 29), (331, 193), (394, 193)]",None,None
15.0,"[(331, 29), (395, 29), (331, 193), (395, 193)]",None,None
16.0,"[(332, 29), (395, 29), (332, 193), (395, 193)]",None,None
17.0,"[(332, 29), (395, 29), (332, 193), (395, 193)]",None,None
18.0,"[(332, 29), (394, 29), (332, 193), (394, 193)]",None,None
19.0,"[(332, 29), (395, 29), (332, 193), (395, 193)]",None,None
20.0,"[(332, 29), (395, 29), (332, 193), (395, 193)]",None,None
21.0,"[(332, 29), (395, 29), (332, 193), (395, 193)]",None,None
22.0,"[(332, 29), (395, 29), (332, 193), (395, 193)]",None,None
23.0,"[(332, 29), (395, 29), (332, 193), (395, 193)]",None,None
24.0,"[(332, 29), (395, 29), (332, 193), (395, 193)]",None,None
25.0,"[(331, 29), (394, 29), (331, 193), (394, 193)]",None,None
26.0,"[(331, 29), (394, 29), (331, 193), (394, 193)]",None,None
27.0,"[(331, 29), (394, 29), (331, 193), (394, 193)]",None,None
28.0,"[(331, 29), (394, 29), (331, 193), (394, 193)]",None,None
29.0,"[(331, 29), (394, 29), (331, 193), (394, 193)]",None,None
30.0,"[(331, 29), (394, 29), (331, 193), (394, 193)]",None,None
31.0,"[(331, 29), (394, 29), (331, 193), (394, 193)]",None,None
32.0,"[(331, 29), (394, 29), (331, 193), (394, 193)]",None,None
33.0,"[(331, 29), (394, 29), (331, 193), (394, 193)]",None,None
34.0,"[(331, 29), (394, 29), (331, 193), (394, 193)]",None,None
35.0,"[(331, 29), (394, 29), (331, 193), (394, 193)]",None,None
36.0,"[(331, 29), (394, 29), (331, 193), (394, 193)]",None,None
37.0,"[(332, 28), (394, 28), (332, 193), (394, 193)]",None,None
38.0,"[(332, 28), (394, 28), (332, 193), (394, 193)]",None,None
39.0,"[(332, 28), (394, 28), (332, 193), (394, 193)]",None,None
40.0,"[(332, 29), (394, 29), (332, 193), (394, 193)]",None,None
41.0,"[(332, 29), (394, 29), (332, 193), (394, 193)]",None,None
42.0,"[(333, 29), (394, 29), (333, 193), (394, 193)]",None,None
43.0,"[(332, 29), (394, 29), (332, 193), (394, 193)]",None,None
44.0,"[(332, 28), (394, 28), (332, 193), (394, 193)]",None,None
45.0,"[(333, 28), (394, 28), (333, 193), (394, 193)]",None,None
46.0,"[(332, 28), (394, 28), (332, 193), (394, 193)]",None,None
47.0,"[(332, 28), (394, 28), (332, 193), (394, 193)]",None,None
48.0,"[(332, 28), (394, 28), (332, 193), (394, 193)]",None,None
49.0,"[(332, 28), (394, 28), (332, 193), (394, 193)]",None,None
50.0,"[(332, 29), (394, 29), (332, 193), (394, 193)]",None,None
51.0,"[(332, 29), (394, 29), (332, 193), (394, 193)]",None,None
52.0,"[(332, 28), (394, 28), (332, 193), (394, 193)]",None,None
53.0,"[(332, 29), (394, 29), (332, 193), (394, 193)]",None,None
54.0,"[(332, 29), (395, 29), (332, 193), (395, 193)]",None,None
55.0,"[(332, 29), (394, 29), (332, 193), (394, 193)]",None,None
56.0,"[(332, 29), (394, 29), (332, 193), (394, 193)]",None,None
57.0,"[(332, 29), (394, 29), (332, 193), (394, 193)]",None,None
58.0,"[(332, 28), (394, 28), (332, 193), (394, 193)]",None,None
59.0,"[(332, 29), (394, 29), (332, 193), (394, 193)]",None,None
60.0,"[(332, 29), (394, 29), (332, 193), (394, 193)]",None,None
61.0,"[(332, 28), (395, 28), (332, 193), (395, 193)]",None,None
62.0,"[(332, 28), (395, 28), (332, 193), (395, 193)]",None,None
63.0,"[(332, 28), (395, 28), (332, 193), (395, 193)]",None,None
64.0,"[(332, 29), (395, 29), (332, 193), (395, 193)]",None,None
65.0,"[(332, 29), (395, 29), (332, 193), (395, 193)]",None,None
