"countMatBrush 0,0","countMatBrush 0,1","countMatBrush 0,2","countMatBrush 1,0","countMatBrush 1,1","countMatBrush 1,2","countMatBrush 2,0","countMatBrush 2,1","countMatBrush 2,2","AlreadyVisitedBrush 0,0","AlreadyVisitedBrush 0,1","AlreadyVisitedBrush 0,2","AlreadyVisitedBrush 1,0","AlreadyVisitedBrush 1,1","AlreadyVisitedBrush 1,2","AlreadyVisitedBrush 2,0","AlreadyVisitedBrush 2,1","AlreadyVisitedBrush 2,2",%OfSandBrushes,%OfPaperBrushes,"countMatTwizzers 0,0","countMatTwizzers 0,1","countMatTwizzers 0,2","countMatTwizzers 1,0","countMatTwizzers 1,1","countMatTwizzers 1,2","countMatTwizzers 2,0","countMatTwizzers 2,1","countMatTwizzers 2,2","AlreadyVisitedTwizzers 0,0","AlreadyVisitedTwizzers 0,1","AlreadyVisitedTwizzers 0,2","AlreadyVisitedTwizzers 1,0","AlreadyVisitedTwizzers 1,1","AlreadyVisitedTwizzers 1,2","AlreadyVisitedTwizzers 2,0","AlreadyVisitedTwizzers 2,1","AlreadyVisitedTwizzers 2,2",%OfSandTwizzers,%OfPaperTwizzers,switch,frames_brush_per_video,frames_tw_per_video,avg_brush_length,"countMatBrushLast 0,0","countMatBrushLast 0,1","countMatBrushLast 0,2","countMatBrushLast 1,0","countMatBrushLast 1,1","countMatBrushLast 1,2","countMatBrushLast 2,0","countMatBrushLast 2,1","countMatBrushLast 2,2","AlreadyVisitedBrushLast0,0","AlreadyVisitedBrushLast0,1","AlreadyVisitedBrushLast0,2","AlreadyVisitedBrushLast1,0","AlreadyVisitedBrushLast1,1","AlreadyVisitedBrushLast1,2","AlreadyVisitedBrushLast2,0","AlreadyVisitedBrushLast2,1","AlreadyVisitedBrushLast2,2",%OfSandBrushesLast,%OfPaperBrushesLast,"countMatTwizzersLast 0,0","countMatTwizzersLast 0,1","countMatTwizzersLast 0,2","countMatTwizzersLast 1,0","countMatTwizzersLast 1,1","countMatTwizzersLast 1,2","countMatTwizzersLast 2,0","countMatTwizzersLast 2,1","countMatTwizzersLast 2,2","AlreadyVisitedTwizzersLast 0,0","AlreadyVisitedTwizzersLast 0,1","AlreadyVisitedTwizzersLast 0,2","AlreadyVisitedTwizzersLast 1,0","AlreadyVisitedTwizzersLast 1,1","AlreadyVisitedTwizzersLast 1,2","AlreadyVisitedTwizzersLast 2,0","AlreadyVisitedTwizzersLast 2,1","AlreadyVisitedTwizzersLast 2,2",%OfSandTwizzersLast,%OfPaperTwizzersLast,switchLast,frames_brush_per_video_last,frames_tw_per_video_last,avg_brush_length_last,Tested,Half an hour,Directory
44.0,199.0,45.0,0.0,36.0,4.0,0.0,16.0,72.0,22.0,19.0,3.0,0.0,8.0,3.0,0.0,1.0,15.0,31.25,68.75,23.0,8.0,5.0,87.0,134.0,146.0,406.0,159.0,775.0,6.0,2.0,1.0,17.0,11.0,9.0,13.0,25.0,16.0,11.34020618556701,88.65979381443299,80,14.835948644793154,85.16405135520685,2.9284679367473925,4.0,25.0,0.0,0.0,82.0,13.0,11.0,56.0,3.0,1.0,7.0,0.0,0.0,11.0,0.0,1.0,5.0,0.0,22.68041237113402,77.31958762886599,0.0,0.0,61.0,179.0,122.0,9.0,205.0,209.0,109.0,0.0,0.0,1.0,5.0,11.0,2.0,5.0,19.0,16.0,38.684503901895205,61.315496098104795,8,13.143631436314362,86.85636856368563,2.7494450051705512,matan,3rd,matan-2-5-23-3rd
0.0,0.0,0.0,217.0,38.0,0.0,41.0,23.0,0.0,0.0,0.0,0.0,149.0,14.0,0.0,22.0,19.0,0.0,65.20376175548589,34.79623824451411,5.0,4.0,2.0,272.0,7.0,5.0,26.0,110.0,2319.0,2.0,1.0,1.0,18.0,4.0,2.0,11.0,16.0,144.0,13.272727272727272,86.72727272727273,379,11.506215669268574,88.49378433073143,2.028992671258157,40.0,5.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,10.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,98.21428571428571,1.7857142857142856,53.0,4.0,36.0,10.0,2.0,0.0,2.0,605.0,2.0,5.0,1.0,2.0,4.0,1.0,0.0,0.0,16.0,0.0,9.803921568627452,90.19607843137256,19,6.488991888760139,93.51100811123986,3.1684838989070476,matan,1st,matan-6-6-23-1st
0.0,153.0,48.0,0.0,213.0,102.0,0.0,0.0,0.0,0.0,149.0,44.0,0.0,200.0,87.0,0.0,0.0,0.0,31.782945736434108,68.21705426356588,5.0,1.0,0.0,35.0,77.0,52.0,5.0,3279.0,20.0,2.0,0.0,0.0,2.0,8.0,4.0,0.0,479.0,2.0,5.092059838895282,94.90794016110472,951,12.341545084907917,87.6584549150921,2.727229001457367,0.0,29.0,576.0,0.0,21.0,980.0,0.0,0.0,0.0,0.0,6.0,77.0,0.0,8.0,85.0,0.0,0.0,0.0,33.37484433374844,66.62515566625156,3.0,145.0,132.0,2.0,25.0,8.0,2.0,9.0,28.0,1.0,9.0,7.0,0.0,3.0,2.0,0.0,3.0,7.0,39.8876404494382,60.1123595505618,27,77.47226242161119,22.52773757838881,2.7585918474916977,matan,3rd,matan-9-5-23-3rd
2.0,395.0,0.0,1.0,798.0,99.0,2.0,129.0,0.0,0.0,29.0,0.0,0.0,61.0,5.0,0.0,7.0,0.0,58.76577840112201,41.23422159887798,0.0,0.0,37.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090908,84.0909090909091,71,86.68693009118542,13.31306990881459,2.4790845766157883,0.0,90.0,58.0,9.0,101.0,33.0,92.0,254.0,1.0,0.0,11.0,4.0,2.0,21.0,2.0,9.0,17.0,0.0,45.29780564263323,54.70219435736677,93.0,103.0,160.0,10.0,18.0,87.0,76.0,86.0,80.0,0.0,10.0,32.0,0.0,5.0,15.0,3.0,11.0,10.0,43.69747899159664,56.30252100840336,18,26.456692913385826,73.54330708661418,2.216921810707487,matan,2nd,matan-14-3-23-2nd
6.0,54.0,0.0,15.0,769.0,8.0,0.0,64.0,24.0,1.0,8.0,0.0,0.0,11.0,1.0,0.0,7.0,1.0,71.17021276595744,28.829787234042552,0.0,105.0,193.0,0.0,84.0,32.0,69.0,232.0,3.0,0.0,6.0,18.0,0.0,10.0,6.0,5.0,12.0,2.0,34.35326842837274,65.64673157162726,31,43.55885078776645,56.441149212233555,1.720464827974369,0.0,199.0,56.0,136.0,947.0,142.0,516.0,16.0,0.0,0.0,33.0,6.0,18.0,62.0,20.0,19.0,6.0,0.0,76.441351888668,23.55864811133201,0.0,55.0,1.0,0.0,62.0,0.0,30.0,116.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,46.96969696969697,53.03030303030303,11,85.61702127659574,14.382978723404255,2.356226329515376,matan,1st,matan-14-3-23-1st
0.0,23.0,211.0,0.0,456.0,368.0,12.0,823.0,209.0,0.0,7.0,45.0,0.0,64.0,55.0,1.0,295.0,26.0,62.74976213130352,37.25023786869648,0.0,0.0,63.0,32.0,40.0,10.0,81.0,319.0,1201.0,0.0,0.0,1.0,1.0,5.0,5.0,1.0,17.0,296.0,13.402061855670103,86.5979381443299,665,53.745845052416264,46.254154947583736,2.389380994191362,1.0,83.0,235.0,0.0,40.0,103.0,0.0,455.0,529.0,0.0,15.0,11.0,0.0,12.0,20.0,0.0,27.0,40.0,56.293222683264176,43.706777316735824,1.0,153.0,0.0,0.0,65.0,1.0,3.0,162.0,66.0,0.0,5.0,0.0,0.0,8.0,0.0,2.0,8.0,5.0,84.70066518847007,15.299334811529933,26,71.94029850746269,28.059701492537314,2.153913760438802,matan,1st,matan-9-5-23-1st
60.0,309.0,185.0,42.0,4.0,11.0,8.0,32.0,8.0,11.0,16.0,14.0,7.0,1.0,5.0,0.0,4.0,0.0,24.12746585735964,75.87253414264038,27.0,0.0,0.0,224.0,13.0,55.0,148.0,118.0,135.0,4.0,0.0,0.0,6.0,5.0,0.0,3.0,20.0,18.0,16.044260027662517,83.95573997233748,9,38.60574106619801,61.39425893380199,2.883803152287375,216.0,241.0,19.0,12.0,14.0,2.0,49.0,35.0,11.0,39.0,19.0,2.0,3.0,4.0,0.0,4.0,7.0,2.0,43.23873121869783,56.761268781302164,389.0,0.0,5.0,306.0,45.0,78.0,141.0,123.0,108.0,21.0,0.0,0.0,27.0,11.0,7.0,26.0,15.0,14.0,26.900584795321635,73.09941520467837,94,31.149245969838795,68.85075403016121,3.017691049375752,matan,2nd,matan-2-5-23-2nd
8.0,380.0,21.0,0.0,337.0,197.0,42.0,328.0,2.0,0.0,37.0,14.0,0.0,156.0,62.0,2.0,27.0,1.0,64.33460076045627,35.665399239543724,188.0,1175.0,592.0,3.0,85.0,108.0,0.0,47.0,57.0,4.0,189.0,28.0,0.0,7.0,3.0,0.0,0.0,3.0,46.03806994245242,53.96193005754759,531,31.581462016244625,68.41853798375539,2.3054180530590056,0.0,1.0,7.0,15.0,223.0,14.0,37.0,368.0,37.0,0.0,0.0,0.0,1.0,28.0,9.0,14.0,116.0,7.0,44.15954415954416,55.84045584045584,40.0,115.0,66.0,29.0,7.0,124.0,54.0,70.0,69.0,4.0,15.0,9.0,3.0,1.0,16.0,0.0,0.0,34.0,32.52595155709342,67.47404844290658,353,26.50557620817844,73.49442379182156,2.1801363270555596,matan,3rd,matan-14-3-23-3rd
24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,96.0,6.0,6.0,0.0,67.0,727.0,4.0,77.0,48.0,1.0,0.0,2.0,0.0,9.0,11.0,1.0,2.0,7.0,0.0,16.862326574172894,83.1376734258271,4,2.4533856722276743,97.54661432777233,1.7833487901003546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,20.0,0.0,0.0,3.0,0.0,31.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.91891891891892,81.08108108108108,2,11.904761904761903,88.09523809523809,2.710404813240945,matan,3rd,matan-23-5-23-3rd
6.0,27.0,0.0,5.0,19.0,0.0,0.0,220.0,234.0,4.0,10.0,0.0,2.0,5.0,0.0,0.0,80.0,70.0,57.14285714285714,42.857142857142854,410.0,33.0,11.0,15.0,36.0,23.0,14.0,143.0,970.0,62.0,8.0,1.0,4.0,7.0,2.0,4.0,20.0,92.0,46.98431845597105,53.01568154402895,296,22.23672758920801,77.763272410792,1.543246983201946,7.0,418.0,29.0,1.0,42.0,43.0,9.0,45.0,10.0,0.0,20.0,13.0,0.0,13.0,8.0,1.0,7.0,2.0,80.29801324503312,19.70198675496689,84.0,19.0,14.0,238.0,50.0,107.0,7.0,69.0,28.0,8.0,5.0,3.0,6.0,9.0,1.0,4.0,14.0,7.0,87.17532467532467,12.824675324675324,19,36.3963963963964,63.60360360360361,1.9711941460978062,matan,2nd,matan-9-5-23-2nd
436.0,405.0,0.0,105.0,30.0,0.0,0.0,0.0,1.0,107.0,103.0,0.0,27.0,14.0,0.0,0.0,0.0,0.0,93.85875127942683,6.1412487205731825,42.0,16.0,2.0,6.0,100.0,0.0,0.0,18.0,3.0,5.0,0.0,0.0,4.0,12.0,0.0,0.0,5.0,0.0,43.85026737967914,56.14973262032086,72,92.44200548765278,7.557994512347219,2.2000466102692284,0.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,42.10526315789473,57.89473684210527,27.0,0.0,0.0,37.0,0.0,0.0,0.0,4.0,15.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,4.0,71.08433734939759,28.915662650602407,10,3.2203389830508473,96.77966101694915,3.148793632596284,matan,2nd,matan-6-6-23-2nd
98.0,43.0,0.0,974.0,510.0,0.0,21.0,29.0,0.0,21.0,14.0,0.0,49.0,39.0,0.0,4.0,9.0,0.0,38.80597014925373,61.19402985074627,4.0,87.0,1.0,88.0,44.0,1.0,172.0,103.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,10.0,12.0,0.0,52.800000000000004,47.199999999999996,13,77.19220549158547,22.807794508414524,2.615725771977369,9.0,2.0,0.0,242.0,6.0,0.0,13.0,12.0,0.0,1.0,1.0,0.0,18.0,2.0,0.0,5.0,0.0,0.0,53.52112676056338,46.478873239436616,0.0,1.0,0.0,6.0,3.0,1.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,59.130434782608695,40.869565217391305,26,71.17794486215539,28.82205513784461,2.8149286299932874,matan,1st,matan-23-5-23-1st
23.0,141.0,6.0,30.0,347.0,152.0,6.0,0.0,0.0,5.0,26.0,3.0,6.0,60.0,59.0,2.0,0.0,0.0,19.43262411347518,80.56737588652483,322.0,1228.0,60.0,437.0,717.0,11.0,88.0,393.0,281.0,33.0,74.0,29.0,33.0,57.0,5.0,8.0,47.0,33.0,22.513384051845588,77.48661594815441,210,13.968694273826035,86.03130572617397,4.125289386174644,40.0,159.0,136.0,49.0,211.0,16.0,0.0,0.0,0.0,14.0,30.0,11.0,19.0,56.0,5.0,0.0,0.0,0.0,28.477905073649758,71.52209492635025,8.0,150.0,142.0,119.0,320.0,256.0,178.0,121.0,67.0,1.0,31.0,14.0,17.0,23.0,21.0,5.0,9.0,15.0,15.491923641703378,84.50807635829662,91,26.099957283212305,73.9000427167877,3.450225338131494,matan,1st,matan-2-5-23-1st
