Unnamed: 0,"countMatBrush 0,0","countMatBrush 0,1","countMatBrush 0,2","countMatBrush 1,0","countMatBrush 1,1","countMatBrush 1,2","countMatBrush 2,0","countMatBrush 2,1","countMatBrush 2,2","AlreadyVisitedBrush 0,0","AlreadyVisitedBrush 0,1","AlreadyVisitedBrush 0,2","AlreadyVisitedBrush 1,0","AlreadyVisitedBrush 1,1","AlreadyVisitedBrush 1,2","AlreadyVisitedBrush 2,0","AlreadyVisitedBrush 2,1","AlreadyVisitedBrush 2,2",%OfSandBrushes,%OfPaperBrushes,"countMatTwizzers 0,0","countMatTwizzers 0,1","countMatTwizzers 0,2","countMatTwizzers 1,0","countMatTwizzers 1,1","countMatTwizzers 1,2","countMatTwizzers 2,0","countMatTwizzers 2,1","countMatTwizzers 2,2","AlreadyVisitedTwizzers 0,0","AlreadyVisitedTwizzers 0,1","AlreadyVisitedTwizzers 0,2","AlreadyVisitedTwizzers 1,0","AlreadyVisitedTwizzers 1,1","AlreadyVisitedTwizzers 1,2","AlreadyVisitedTwizzers 2,0","AlreadyVisitedTwizzers 2,1","AlreadyVisitedTwizzers 2,2",%OfSandTwizzers,%OfPaperTwizzers,switch,frames_brush_per_video,frames_tw_per_video,avg_brush_length,"countMatBrushLast 0,0","countMatBrushLast 0,1","countMatBrushLast 0,2","countMatBrushLast 1,0","countMatBrushLast 1,1","countMatBrushLast 1,2","countMatBrushLast 2,0","countMatBrushLast 2,1","countMatBrushLast 2,2","AlreadyVisitedBrushLast0,0","AlreadyVisitedBrushLast0,1","AlreadyVisitedBrushLast0,2","AlreadyVisitedBrushLast1,0","AlreadyVisitedBrushLast1,1","AlreadyVisitedBrushLast1,2","AlreadyVisitedBrushLast2,0","AlreadyVisitedBrushLast2,1","AlreadyVisitedBrushLast2,2",%OfSandBrushesLast,%OfPaperBrushesLast,"countMatTwizzersLast 0,0","countMatTwizzersLast 0,1","countMatTwizzersLast 0,2","countMatTwizzersLast 1,0","countMatTwizzersLast 1,1","countMatTwizzersLast 1,2","countMatTwizzersLast 2,0","countMatTwizzersLast 2,1","countMatTwizzersLast 2,2","AlreadyVisitedTwizzersLast 0,0","AlreadyVisitedTwizzersLast 0,1","AlreadyVisitedTwizzersLast 0,2","AlreadyVisitedTwizzersLast 1,0","AlreadyVisitedTwizzersLast 1,1","AlreadyVisitedTwizzersLast 1,2","AlreadyVisitedTwizzersLast 2,0","AlreadyVisitedTwizzersLast 2,1","AlreadyVisitedTwizzersLast 2,2",%OfSandTwizzersLast,%OfPaperTwizzersLast,switchLast,frames_brush_per_video_last,frames_tw_per_video_last,avg_brush_length_last,Tested,Half an hour,Directory
0,0.0,0.0,0.0,5.0,1286.0,352.0,0.0,5.0,10.0,0.0,0.0,0.0,1.0,1139.0,321.0,0.0,4.0,7.0,50.24125452352232,49.758745476477685,813.0,399.0,22.0,4191.0,1716.0,0.0,365.0,234.0,0.0,37.0,36.0,1.0,1226.0,375.0,0.0,8.0,5.0,0.0,13.333333333333334,86.66666666666667,3030,17.642051500319216,82.35794849968079,1.91562778153511,0.0,0.0,0.0,5.0,1063.0,71.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,791.0,70.0,0.0,12.0,0.0,43.17596566523605,56.82403433476395,0.0,0.0,0.0,6268.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,887.0,11.0,0.0,0.0,0.0,0.0,5.5105605844052725,94.48943941559472,1774,15.612436344143662,84.38756365585634,2.245133952454773,yuval,1st,yuval-14-3-23-1st
3,0.0,1.0,0.0,54.0,562.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,98.0,0.0,0.0,0.0,0.0,85.41666666666666,14.583333333333334,8.0,1546.0,0.0,149.0,267.0,0.0,0.0,0.0,0.0,3.0,117.0,0.0,10.0,29.0,0.0,0.0,0.0,0.0,8.375634517766498,91.6243654822335,252,24.05551272166538,75.94448727833462,1.4902162248641848,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,100.0,0.0,839.0,1302.0,112.0,48.0,14.0,0.0,2.0,0.0,70.0,18.0,48.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,7.95978215333054,92.04021784666946,58,1.2003311258278146,98.79966887417218,2.3100699008312,yuval,1st,yuval-2-5-23-1st
6,0.0,0.0,0.0,0.0,110.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,3.0,0.0,90.5982905982906,9.401709401709402,52.0,2345.0,0.0,48.0,83.0,0.0,1.0,0.0,0.0,13.0,19.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,2.7283511269276395,97.27164887307237,27,4.421768707482993,95.578231292517,1.793350302094343,0.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,63.63636363636363,36.36363636363637,41.0,2276.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.663503019844692,90.3364969801553,5,0.47230571060541,99.5276942893946,1.0,yuval,1st,yuval-23-5-23-1st
9,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,90.0,10.0,8.0,16.0,0.0,6.0,0.0,0.0,2.0,7188.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0277008310249307,99.97229916897508,20,0.1383125864453665,99.86168741355463,3.048131630231925,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,7512.0,0.0,0.0,575.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.7419314949919624,99.25806850500804,2,0.0123639960435212,99.98763600395648,,yuval,1st,yuval-28-3-23-1st
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,84.0,0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0,0.0,100.0,,yuval,1st,yuval-6-6-23-1st
15,0.0,0.0,0.0,217.0,38.0,0.0,41.0,23.0,0.0,0.0,0.0,0.0,149.0,14.0,0.0,22.0,19.0,0.0,65.20376175548589,34.79623824451411,5.0,4.0,2.0,272.0,7.0,5.0,26.0,110.0,2319.0,2.0,1.0,1.0,18.0,4.0,2.0,11.0,16.0,144.0,13.272727272727272,86.72727272727273,379,11.506215669268574,88.49378433073143,2.028992671258157,40.0,5.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,10.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,98.21428571428572,1.7857142857142856,53.0,4.0,36.0,10.0,2.0,0.0,2.0,605.0,2.0,5.0,1.0,2.0,4.0,1.0,0.0,0.0,16.0,0.0,9.803921568627452,90.19607843137256,19,6.488991888760139,93.51100811123986,3.168483898907048,matan,1st,matan-6-6-23-1st
18,6.0,54.0,0.0,15.0,769.0,8.0,0.0,64.0,24.0,1.0,8.0,0.0,0.0,11.0,1.0,0.0,7.0,1.0,71.17021276595744,28.829787234042552,0.0,105.0,193.0,0.0,84.0,32.0,69.0,232.0,3.0,0.0,6.0,18.0,0.0,10.0,6.0,5.0,12.0,2.0,34.35326842837274,65.64673157162726,31,43.55885078776645,56.44114921223356,1.720464827974369,0.0,199.0,56.0,136.0,947.0,142.0,516.0,16.0,0.0,0.0,33.0,6.0,18.0,62.0,20.0,19.0,6.0,0.0,76.441351888668,23.55864811133201,0.0,55.0,1.0,0.0,62.0,0.0,30.0,116.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,46.96969696969697,53.03030303030303,11,85.61702127659574,14.382978723404255,2.356226329515376,matan,1st,matan-14-3-23-1st
19,0.0,23.0,211.0,0.0,456.0,368.0,12.0,823.0,209.0,0.0,7.0,45.0,0.0,64.0,55.0,1.0,295.0,26.0,62.74976213130352,37.25023786869648,0.0,0.0,63.0,32.0,40.0,10.0,81.0,319.0,1201.0,0.0,0.0,1.0,1.0,5.0,5.0,1.0,17.0,296.0,13.402061855670103,86.5979381443299,665,53.74584505241626,46.254154947583736,2.389380994191362,1.0,83.0,235.0,0.0,40.0,103.0,0.0,455.0,529.0,0.0,15.0,11.0,0.0,12.0,20.0,0.0,27.0,40.0,56.293222683264176,43.706777316735824,1.0,153.0,0.0,0.0,65.0,1.0,3.0,162.0,66.0,0.0,5.0,0.0,0.0,8.0,0.0,2.0,8.0,5.0,84.70066518847007,15.299334811529931,26,71.94029850746269,28.059701492537314,2.153913760438802,matan,1st,matan-9-5-23-1st
25,98.0,43.0,0.0,974.0,510.0,0.0,21.0,29.0,0.0,21.0,14.0,0.0,49.0,39.0,0.0,4.0,9.0,0.0,38.80597014925373,61.19402985074627,4.0,87.0,1.0,88.0,44.0,1.0,172.0,103.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,10.0,12.0,0.0,52.8,47.2,13,77.19220549158547,22.807794508414524,2.615725771977369,9.0,2.0,0.0,242.0,6.0,0.0,13.0,12.0,0.0,1.0,1.0,0.0,18.0,2.0,0.0,5.0,0.0,0.0,53.52112676056338,46.478873239436616,0.0,1.0,0.0,6.0,3.0,1.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,59.130434782608695,40.869565217391305,26,71.17794486215539,28.82205513784461,2.8149286299932874,matan,1st,matan-23-5-23-1st
26,23.0,141.0,6.0,30.0,347.0,152.0,6.0,0.0,0.0,5.0,26.0,3.0,6.0,60.0,59.0,2.0,0.0,0.0,19.43262411347518,80.56737588652483,322.0,1228.0,60.0,437.0,717.0,11.0,88.0,393.0,281.0,33.0,74.0,29.0,33.0,57.0,5.0,8.0,47.0,33.0,22.513384051845588,77.48661594815441,210,13.968694273826037,86.03130572617397,4.125289386174644,40.0,159.0,136.0,49.0,211.0,16.0,0.0,0.0,0.0,14.0,30.0,11.0,19.0,56.0,5.0,0.0,0.0,0.0,28.47790507364976,71.52209492635025,8.0,150.0,142.0,119.0,320.0,256.0,178.0,121.0,67.0,1.0,31.0,14.0,17.0,23.0,21.0,5.0,9.0,15.0,15.491923641703378,84.50807635829662,91,26.099957283212305,73.9000427167877,3.450225338131494,matan,1st,matan-2-5-23-1st
