Unnamed: 0,"countMatBrush 0,0","countMatBrush 0,1","countMatBrush 0,2","countMatBrush 1,0","countMatBrush 1,1","countMatBrush 1,2","countMatBrush 2,0","countMatBrush 2,1","countMatBrush 2,2","AlreadyVisitedBrush 0,0","AlreadyVisitedBrush 0,1","AlreadyVisitedBrush 0,2","AlreadyVisitedBrush 1,0","AlreadyVisitedBrush 1,1","AlreadyVisitedBrush 1,2","AlreadyVisitedBrush 2,0","AlreadyVisitedBrush 2,1","AlreadyVisitedBrush 2,2",%OfSandBrushes,%OfPaperBrushes,"countMatTwizzers 0,0","countMatTwizzers 0,1","countMatTwizzers 0,2","countMatTwizzers 1,0","countMatTwizzers 1,1","countMatTwizzers 1,2","countMatTwizzers 2,0","countMatTwizzers 2,1","countMatTwizzers 2,2","AlreadyVisitedTwizzers 0,0","AlreadyVisitedTwizzers 0,1","AlreadyVisitedTwizzers 0,2","AlreadyVisitedTwizzers 1,0","AlreadyVisitedTwizzers 1,1","AlreadyVisitedTwizzers 1,2","AlreadyVisitedTwizzers 2,0","AlreadyVisitedTwizzers 2,1","AlreadyVisitedTwizzers 2,2",%OfSandTwizzers,%OfPaperTwizzers,switch,frames_brush_per_video,frames_tw_per_video,avg_brush_length,"countMatBrushLast 0,0","countMatBrushLast 0,1","countMatBrushLast 0,2","countMatBrushLast 1,0","countMatBrushLast 1,1","countMatBrushLast 1,2","countMatBrushLast 2,0","countMatBrushLast 2,1","countMatBrushLast 2,2","AlreadyVisitedBrushLast0,0","AlreadyVisitedBrushLast0,1","AlreadyVisitedBrushLast0,2","AlreadyVisitedBrushLast1,0","AlreadyVisitedBrushLast1,1","AlreadyVisitedBrushLast1,2","AlreadyVisitedBrushLast2,0","AlreadyVisitedBrushLast2,1","AlreadyVisitedBrushLast2,2",%OfSandBrushesLast,%OfPaperBrushesLast,"countMatTwizzersLast 0,0","countMatTwizzersLast 0,1","countMatTwizzersLast 0,2","countMatTwizzersLast 1,0","countMatTwizzersLast 1,1","countMatTwizzersLast 1,2","countMatTwizzersLast 2,0","countMatTwizzersLast 2,1","countMatTwizzersLast 2,2","AlreadyVisitedTwizzersLast 0,0","AlreadyVisitedTwizzersLast 0,1","AlreadyVisitedTwizzersLast 0,2","AlreadyVisitedTwizzersLast 1,0","AlreadyVisitedTwizzersLast 1,1","AlreadyVisitedTwizzersLast 1,2","AlreadyVisitedTwizzersLast 2,0","AlreadyVisitedTwizzersLast 2,1","AlreadyVisitedTwizzersLast 2,2",%OfSandTwizzersLast,%OfPaperTwizzersLast,switchLast,frames_brush_per_video_last,frames_tw_per_video_last,avg_brush_length_last,Tested,Half an hour,Directory
1,0.0,2.0,0.0,246.0,1554.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,191.0,1.0,0.0,0.0,0.0,66.18625277161863,33.813747228381374,95.0,1521.0,13.0,40.0,52.0,0.0,45.0,0.0,0.0,10.0,248.0,1.0,3.0,6.0,0.0,1.0,0.0,0.0,1.8120045300113248,98.18799546998868,489,50.34886966229417,49.65113033770584,2.107393139440868,19.0,67.0,0.0,5.0,12.0,8.0,0.0,0.0,0.0,0.0,58.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,10.81081081081081,89.1891891891892,623.0,916.0,41.0,2514.0,1876.0,94.0,455.0,0.0,0.0,45.0,47.0,8.0,85.0,53.0,5.0,9.0,0.0,0.0,37.18361711919006,62.81638288080994,204,1.67420814479638,98.32579185520362,2.464134193479496,yuval,2nd,yuval-14-3-23-2nd
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,627.0,0.0,1117.0,203.0,0.0,0.0,0.0,0.0,25.0,17.0,0.0,20.0,14.0,0.0,0.0,0.0,0.0,41.29692832764505,58.70307167235495,0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.0,667.0,0.0,2186.0,361.0,0.0,118.0,19.0,0.0,20.0,11.0,0.0,25.0,13.0,0.0,6.0,2.0,0.0,43.67899444041576,56.32100555958424,0,0.0,100.0,,yuval,2nd,yuval-2-5-23-2nd
7,0.0,51.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.389830508474576,96.61016949152544,95.0,425.0,3.0,7.0,7.0,0.0,0.0,0.0,1142.0,13.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.57355568790947,96.42644431209052,8,3.394706559263521,96.60529344073647,1.181218433538229,0.0,94.0,109.0,0.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,16.0,0.0,0.0,0.0,0.0,31.35593220338983,68.64406779661016,16.0,1207.0,0.0,59.0,3.0,0.0,9.0,0.0,0.0,3.0,30.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.418856259659969,92.58114374034004,236,15.42483660130719,84.57516339869281,1.695824513904438,yuval,2nd,yuval-23-5-23-2nd
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706.0,0.0,0.0,3907.0,0.0,0.0,607.0,0.0,0.0,34.0,0.0,0.0,61.0,0.0,0.0,37.0,0.0,0.0,1.8199233716475096,98.18007662835248,0,0.0,100.0,,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.10526315789473,57.89473684210527,1384.0,731.0,93.0,3014.0,549.0,0.0,621.0,0.0,0.0,49.0,36.0,1.0,51.0,23.0,0.0,24.0,0.0,0.0,27.221526908635795,72.7784730913642,30,0.2963656215878958,99.7036343784121,2.1087907461438404,yuval,2nd,yuval-28-3-23-2nd
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.142857142857142,92.85714285714286,0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,4.0,0.0,1514.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,59.70313358988455,40.29686641011545,0,0.0,100.0,,yuval,2nd,yuval-6-6-23-2nd
17,2.0,395.0,0.0,1.0,798.0,99.0,2.0,129.0,0.0,0.0,29.0,0.0,0.0,61.0,5.0,0.0,7.0,0.0,58.76577840112201,41.23422159887798,0.0,0.0,37.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090908,84.0909090909091,71,86.68693009118542,13.31306990881459,2.4790845766157883,0.0,90.0,58.0,9.0,101.0,33.0,92.0,254.0,1.0,0.0,11.0,4.0,2.0,21.0,2.0,9.0,17.0,0.0,45.29780564263323,54.70219435736677,93.0,103.0,160.0,10.0,18.0,87.0,76.0,86.0,80.0,0.0,10.0,32.0,0.0,5.0,15.0,3.0,11.0,10.0,43.69747899159664,56.30252100840336,18,26.456692913385822,73.54330708661418,2.216921810707487,matan,2nd,matan-14-3-23-2nd
20,60.0,309.0,185.0,42.0,4.0,11.0,8.0,32.0,8.0,11.0,16.0,14.0,7.0,1.0,5.0,0.0,4.0,0.0,24.12746585735964,75.87253414264038,27.0,0.0,0.0,224.0,13.0,55.0,148.0,118.0,135.0,4.0,0.0,0.0,6.0,5.0,0.0,3.0,20.0,18.0,16.044260027662517,83.95573997233748,9,38.60574106619801,61.39425893380199,2.883803152287375,216.0,241.0,19.0,12.0,14.0,2.0,49.0,35.0,11.0,39.0,19.0,2.0,3.0,4.0,0.0,4.0,7.0,2.0,43.23873121869783,56.76126878130216,389.0,0.0,5.0,306.0,45.0,78.0,141.0,123.0,108.0,21.0,0.0,0.0,27.0,11.0,7.0,26.0,15.0,14.0,26.900584795321635,73.09941520467837,94,31.149245969838795,68.85075403016121,3.017691049375752,matan,2nd,matan-2-5-23-2nd
23,6.0,27.0,0.0,5.0,19.0,0.0,0.0,220.0,234.0,4.0,10.0,0.0,2.0,5.0,0.0,0.0,80.0,70.0,57.14285714285714,42.85714285714285,410.0,33.0,11.0,15.0,36.0,23.0,14.0,143.0,970.0,62.0,8.0,1.0,4.0,7.0,2.0,4.0,20.0,92.0,46.98431845597105,53.01568154402895,296,22.23672758920801,77.763272410792,1.543246983201946,7.0,418.0,29.0,1.0,42.0,43.0,9.0,45.0,10.0,0.0,20.0,13.0,0.0,13.0,8.0,1.0,7.0,2.0,80.29801324503312,19.70198675496689,84.0,19.0,14.0,238.0,50.0,107.0,7.0,69.0,28.0,8.0,5.0,3.0,6.0,9.0,1.0,4.0,14.0,7.0,87.17532467532467,12.824675324675324,19,36.3963963963964,63.60360360360361,1.9711941460978064,matan,2nd,matan-9-5-23-2nd
24,436.0,405.0,0.0,105.0,30.0,0.0,0.0,0.0,1.0,107.0,103.0,0.0,27.0,14.0,0.0,0.0,0.0,0.0,93.85875127942684,6.141248720573183,42.0,16.0,2.0,6.0,100.0,0.0,0.0,18.0,3.0,5.0,0.0,0.0,4.0,12.0,0.0,0.0,5.0,0.0,43.85026737967914,56.14973262032086,72,92.44200548765278,7.557994512347219,2.2000466102692284,0.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,42.10526315789473,57.89473684210527,27.0,0.0,0.0,37.0,0.0,0.0,0.0,4.0,15.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,4.0,71.08433734939759,28.915662650602407,10,3.220338983050848,96.77966101694916,3.148793632596284,matan,2nd,matan-6-6-23-2nd
28,0.0,0.0,2.0,0.0,2.0,201.0,0.0,0.0,43.0,0.0,0.0,1.0,0.0,1.0,177.0,0.0,0.0,8.0,33.666666666666664,66.33333333333333,2.0,2702.0,351.0,0.0,426.0,1420.0,0.0,0.0,0.0,0.0,312.0,37.0,0.0,122.0,291.0,0.0,0.0,0.0,33.89104264435829,66.1089573556417,1286,17.790794979079497,82.2092050209205,2.385093660142161,0.0,0.0,5.0,0.0,0.0,403.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,69.0,0.0,0.0,0.0,40.94117647058824,59.05882352941176,0.0,889.0,328.0,0.0,112.0,90.0,0.0,0.0,0.0,0.0,91.0,28.0,0.0,13.0,15.0,0.0,0.0,0.0,62.622720897615714,37.37727910238429,199,24.31391429947039,75.68608570052962,2.6477844071671623,nir,2nd,nir-14-3-23-2nd
