Unnamed: 0,"countMatBrush 0,0","countMatBrush 0,1","countMatBrush 0,2","countMatBrush 1,0","countMatBrush 1,1","countMatBrush 1,2","countMatBrush 2,0","countMatBrush 2,1","countMatBrush 2,2","AlreadyVisitedBrush 0,0","AlreadyVisitedBrush 0,1","AlreadyVisitedBrush 0,2","AlreadyVisitedBrush 1,0","AlreadyVisitedBrush 1,1","AlreadyVisitedBrush 1,2","AlreadyVisitedBrush 2,0","AlreadyVisitedBrush 2,1","AlreadyVisitedBrush 2,2",%OfSandBrushes,%OfPaperBrushes,"countMatTwizzers 0,0","countMatTwizzers 0,1","countMatTwizzers 0,2","countMatTwizzers 1,0","countMatTwizzers 1,1","countMatTwizzers 1,2","countMatTwizzers 2,0","countMatTwizzers 2,1","countMatTwizzers 2,2","AlreadyVisitedTwizzers 0,0","AlreadyVisitedTwizzers 0,1","AlreadyVisitedTwizzers 0,2","AlreadyVisitedTwizzers 1,0","AlreadyVisitedTwizzers 1,1","AlreadyVisitedTwizzers 1,2","AlreadyVisitedTwizzers 2,0","AlreadyVisitedTwizzers 2,1","AlreadyVisitedTwizzers 2,2",%OfSandTwizzers,%OfPaperTwizzers,switch,frames_brush_per_video,frames_tw_per_video,avg_brush_length,"countMatBrushLast 0,0","countMatBrushLast 0,1","countMatBrushLast 0,2","countMatBrushLast 1,0","countMatBrushLast 1,1","countMatBrushLast 1,2","countMatBrushLast 2,0","countMatBrushLast 2,1","countMatBrushLast 2,2","AlreadyVisitedBrushLast0,0","AlreadyVisitedBrushLast0,1","AlreadyVisitedBrushLast0,2","AlreadyVisitedBrushLast1,0","AlreadyVisitedBrushLast1,1","AlreadyVisitedBrushLast1,2","AlreadyVisitedBrushLast2,0","AlreadyVisitedBrushLast2,1","AlreadyVisitedBrushLast2,2",%OfSandBrushesLast,%OfPaperBrushesLast,"countMatTwizzersLast 0,0","countMatTwizzersLast 0,1","countMatTwizzersLast 0,2","countMatTwizzersLast 1,0","countMatTwizzersLast 1,1","countMatTwizzersLast 1,2","countMatTwizzersLast 2,0","countMatTwizzersLast 2,1","countMatTwizzersLast 2,2","AlreadyVisitedTwizzersLast 0,0","AlreadyVisitedTwizzersLast 0,1","AlreadyVisitedTwizzersLast 0,2","AlreadyVisitedTwizzersLast 1,0","AlreadyVisitedTwizzersLast 1,1","AlreadyVisitedTwizzersLast 1,2","AlreadyVisitedTwizzersLast 2,0","AlreadyVisitedTwizzersLast 2,1","AlreadyVisitedTwizzersLast 2,2",%OfSandTwizzersLast,%OfPaperTwizzersLast,switchLast,frames_brush_per_video_last,frames_tw_per_video_last,avg_brush_length_last,Tested,Half an hour,Directory
2,3.0,270.0,1.0,14.0,121.0,0.0,6.0,0.0,0.0,0.0,249.0,0.0,0.0,111.0,0.0,5.0,0.0,0.0,21.204819277108435,78.79518072289157,822.0,627.0,76.0,4472.0,709.0,16.0,0.0,0.0,1.0,44.0,29.0,5.0,356.0,21.0,5.0,0.0,0.0,0.0,31.072437899747136,68.92756210025286,786,5.813953488372093,94.18604651162792,1.7143914733009518,2.0,332.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,46.6804979253112,53.3195020746888,301.0,832.0,0.0,1630.0,2702.0,0.0,1496.0,29.0,0.0,8.0,136.0,0.0,73.0,86.0,0.0,24.0,1.0,0.0,44.86409155937053,55.13590844062946,852,6.450749464668094,93.54925053533192,1.9432525384534096,yuval,3rd,yuval-14-3-23-3rd
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,267.0,0.0,369.0,498.0,0.0,67.0,15.0,0.0,19.0,12.0,0.0,16.0,12.0,0.0,4.0,5.0,0.0,54.98595505617978,45.014044943820224,0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561.0,274.0,0.0,277.0,107.0,0.0,0.0,0.0,0.0,26.0,15.0,0.0,18.0,12.0,0.0,0.0,0.0,0.0,29.532403609515995,70.467596390484,0,0.0,100.0,,yuval,3rd,yuval-2-5-23-3rd
8,0.0,3.0,14.0,0.0,56.0,214.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,40.0,47.0,0.0,0.0,0.0,6.2717770034843205,93.72822299651568,729.0,576.0,1.0,157.0,12.0,12.0,102.0,27.0,0.0,57.0,58.0,0.0,12.0,4.0,0.0,7.0,3.0,0.0,49.87623762376238,50.12376237623762,178,15.081450341565947,84.91854965843405,1.563085952766917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.0,12.0,44.0,0.0,0.0,0.0,79.0,0.0,0.0,6.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,72.6027397260274,27.3972602739726,0,0.0,100.0,,yuval,3rd,yuval-23-5-23-3rd
11,0.0,0.0,20.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,5.555555555555555,94.44444444444444,0.0,15.0,32.0,3.0,32.0,0.0,3.0,46.0,0.0,0.0,3.0,3.0,1.0,5.0,0.0,1.0,3.0,0.0,43.51145038167939,56.48854961832062,6,21.55688622754491,78.44311377245509,1.8233615135872785,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,66.66666666666666,2150.0,168.0,11.0,296.0,0.0,12.0,2.0,0.0,26.0,30.0,21.0,3.0,9.0,0.0,0.0,0.0,0.0,3.0,3.602251407129456,96.39774859287054,2,0.1124437781109445,99.88755622188906,1.0,yuval,3rd,yuval-28-3-23-3rd
14,44.0,199.0,45.0,0.0,36.0,4.0,0.0,16.0,72.0,22.0,19.0,3.0,0.0,8.0,3.0,0.0,1.0,15.0,31.25,68.75,23.0,8.0,5.0,87.0,134.0,146.0,406.0,159.0,775.0,6.0,2.0,1.0,17.0,11.0,9.0,13.0,25.0,16.0,11.34020618556701,88.65979381443299,80,14.835948644793154,85.16405135520685,2.9284679367473925,4.0,25.0,0.0,0.0,82.0,13.0,11.0,56.0,3.0,1.0,7.0,0.0,0.0,11.0,0.0,1.0,5.0,0.0,22.68041237113402,77.31958762886599,0.0,0.0,61.0,179.0,122.0,9.0,205.0,209.0,109.0,0.0,0.0,1.0,5.0,11.0,2.0,5.0,19.0,16.0,38.684503901895205,61.3154960981048,8,13.143631436314362,86.85636856368563,2.7494450051705512,matan,3rd,matan-2-5-23-3rd
16,0.0,153.0,48.0,0.0,213.0,102.0,0.0,0.0,0.0,0.0,149.0,44.0,0.0,200.0,87.0,0.0,0.0,0.0,31.782945736434108,68.21705426356588,5.0,1.0,0.0,35.0,77.0,52.0,5.0,3279.0,20.0,2.0,0.0,0.0,2.0,8.0,4.0,0.0,479.0,2.0,5.092059838895282,94.90794016110472,951,12.341545084907915,87.6584549150921,2.727229001457367,0.0,29.0,576.0,0.0,21.0,980.0,0.0,0.0,0.0,0.0,6.0,77.0,0.0,8.0,85.0,0.0,0.0,0.0,33.37484433374844,66.62515566625156,3.0,145.0,132.0,2.0,25.0,8.0,2.0,9.0,28.0,1.0,9.0,7.0,0.0,3.0,2.0,0.0,3.0,7.0,39.8876404494382,60.1123595505618,27,77.47226242161119,22.52773757838881,2.7585918474916977,matan,3rd,matan-9-5-23-3rd
21,8.0,380.0,21.0,0.0,337.0,197.0,42.0,328.0,2.0,0.0,37.0,14.0,0.0,156.0,62.0,2.0,27.0,1.0,64.33460076045627,35.665399239543724,188.0,1175.0,592.0,3.0,85.0,108.0,0.0,47.0,57.0,4.0,189.0,28.0,0.0,7.0,3.0,0.0,0.0,3.0,46.03806994245242,53.96193005754759,531,31.581462016244625,68.41853798375539,2.3054180530590056,0.0,1.0,7.0,15.0,223.0,14.0,37.0,368.0,37.0,0.0,0.0,0.0,1.0,28.0,9.0,14.0,116.0,7.0,44.15954415954416,55.84045584045584,40.0,115.0,66.0,29.0,7.0,124.0,54.0,70.0,69.0,4.0,15.0,9.0,3.0,1.0,16.0,0.0,0.0,34.0,32.52595155709342,67.47404844290658,353,26.50557620817844,73.49442379182156,2.18013632705556,matan,3rd,matan-14-3-23-3rd
22,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,96.0,6.0,6.0,0.0,67.0,727.0,4.0,77.0,48.0,1.0,0.0,2.0,0.0,9.0,11.0,1.0,2.0,7.0,0.0,16.862326574172894,83.1376734258271,4,2.4533856722276743,97.54661432777232,1.7833487901003546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,20.0,0.0,0.0,3.0,0.0,31.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.91891891891892,81.08108108108108,2,11.904761904761903,88.09523809523809,2.710404813240945,matan,3rd,matan-23-5-23-3rd
29,0.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,91.0,897.0,9.0,0.0,11.0,2.0,0.0,0.0,0.0,11.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36.63366336633664,63.366336633663366,14,0.8832188420019628,99.11678115799803,1.804737854124365,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,436.0,332.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7308192457737324,97.26918075422628,2,0.1287001287001287,99.87129987129988,0.0,nir,3rd,nir-14-3-23-3rd
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,8.0,6.0,0.0,5.0,6.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,53.84615384615385,46.15384615384615,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nir,3rd,nir-2-5-23-3rd
